,0
0,0.691440262610004
1,0.677423361156668
2,0.6372401925424734
3,0.5771362100328717
4,0.5139604838831084
5,0.4079017355328515
6,0.3445605371768276
7,0.26891395449638367
8,0.23775132253233874
9,0.19120292596164204
