Date,Open,High,Low,Close,Adj Close,Volume
1965-12-27,528.690002,528.690002,528.690002,528.690002,528.690002,0
1966-01-03,527.210022,532.599976,527.210022,532.599976,532.599976,0
1966-01-10,533.869995,535.450012,533.340027,535.450012,535.450012,0
1966-01-17,537.460022,538.940002,535.669983,535.979980,535.979980,0
1966-01-24,537.669983,538.099976,535.669983,535.669983,535.669983,0
1966-01-31,533.340027,535.450012,529.109985,535.450012,535.450012,0
1966-02-07,537.250000,539.890015,536.830017,538.309998,538.309998,0
1966-02-14,537.780029,537.780029,531.440002,531.440002,531.440002,0
1966-02-21,528.260010,528.260010,522.450012,523.929993,523.929993,0
1966-02-28,524.559998,524.559998,512.830017,513.349976,513.349976,0
1966-03-07,506.380005,511.239990,506.380005,510.820007,510.820007,0
1966-03-14,504.899994,508.279999,501.510010,508.279999,508.279999,0
1966-03-21,512.190002,513.989990,511.980011,513.989990,513.989990,0
1966-03-28,514.940002,515.580017,508.600006,515.580017,515.580017,0
1966-04-04,520.229980,525.940002,520.229980,525.940002,525.940002,0
1966-04-11,525.729980,526.359985,524.140015,526.359985,526.359985,0
1966-04-18,524.250000,529.109985,524.250000,528.049988,528.049988,0
1966-04-25,527.520020,527.520020,521.179993,521.179993,521.179993,0
1966-05-02,520.539978,520.539978,502.149994,502.149994,502.149994,0
1966-05-09,493.480011,498.549988,487.339996,487.339996,487.339996,0
1966-05-16,480.890015,487.130005,476.450012,487.130005,487.130005,0
1966-05-23,491.470001,498.450012,491.470001,498.450012,498.450012,0
1966-05-30,491.679993,492.100006,491.470001,492.100006,492.100006,0
1966-06-06,488.609985,494.640015,485.119995,494.640015,494.640015,0
1966-06-13,496.970001,498.660004,495.589996,495.700012,495.700012,0
1966-06-20,495.489990,498.230011,495.489990,496.440002,496.440002,0
1966-06-27,493.369995,493.369995,485.440002,490.200012,490.200012,0
1966-07-04,491.040009,500.559998,491.040009,500.559998,500.559998,0
1966-07-11,499.820007,499.820007,494.220001,498.549988,498.549988,0
1966-07-18,498.019989,498.019989,489.459991,489.459991,489.459991,0
1966-07-25,480.260010,481.529999,478.880005,478.880005,478.880005,0
1966-08-01,471.589996,481.100006,471.480011,481.100006,481.100006,0
1966-08-08,479.839996,479.839996,476.239990,477.399994,477.399994,0
1966-08-15,475.079987,475.079987,456.890015,456.890015,456.890015,0
1966-08-22,448.750000,453.510010,437.859985,437.859985,437.859985,0
1966-08-29,426.329987,443.459991,426.329987,442.089996,442.089996,0
1966-09-05,439.660004,439.660004,434.260010,435.640015,435.640015,0
1966-09-12,444.839996,456.260010,444.839996,456.149994,456.149994,0
1966-09-19,454.040009,454.040009,443.040009,443.040009,443.040009,0
1966-09-26,444.100006,445.369995,435.320007,436.700012,436.700012,0
1966-10-03,427.390015,427.920013,416.290009,416.290009,416.290009,0
1966-10-10,423.480011,437.220001,423.480011,435.739990,435.739990,0
1966-10-17,440.609985,447.799988,440.609985,444.839996,444.839996,0
1966-10-24,446.000000,456.470001,446.000000,456.470001,456.470001,0
1966-10-31,456.359985,460.380005,456.359985,460.269989,460.269989,0
1966-11-07,460.170013,467.250000,460.170013,467.250000,467.250000,0
1966-11-14,464.399994,470.109985,464.079987,464.079987,464.079987,0
1966-11-21,457.630005,462.600006,455.519989,462.600006,462.600006,0
1966-11-28,462.179993,462.179993,459.109985,459.320007,459.320007,0
1966-12-05,459.750000,470.529999,459.750000,470.529999,470.529999,0
1966-12-12,475.079987,475.079987,468.730011,468.839996,468.839996,0
1966-12-19,467.570007,470.109985,465.670013,468.940002,468.940002,0
1966-12-26,466.510010,466.510010,462.279999,462.279999,462.279999,0
1967-01-02,462.489990,472.750000,462.489990,472.750000,472.750000,0
1967-01-09,476.660004,486.809998,476.660004,486.809998,486.809998,0
1967-01-16,485.970001,496.010010,485.970001,496.010010,496.010010,0
1967-01-23,497.809998,498.760010,495.380005,497.809998,497.809998,0
1967-01-30,500.670013,504.679993,499.500000,504.679993,504.679993,0
1967-02-06,503.730011,507.119995,502.679993,506.160004,506.160004,0
1967-02-13,506.899994,510.609985,506.899994,508.489990,508.489990,0
1967-02-20,505.850006,506.480011,505.850006,506.480011,506.480011,0
1967-02-27,501.089996,511.450012,501.089996,511.450012,511.450012,0
1967-03-06,510.709991,515.469971,510.709991,515.469971,515.469971,0
1967-03-13,513.039978,522.770020,512.510010,522.770020,522.770020,0
1967-03-20,522.659973,526.469971,521.280029,526.469971,526.469971,0
1967-03-27,526.250000,526.679993,523.609985,523.609985,523.609985,0
1967-04-03,517.900024,522.340027,517.900024,519.169983,519.169983,0
1967-04-10,512.830017,524.669983,512.830017,524.669983,524.669983,0
1967-04-17,528.159973,535.559998,528.159973,535.559998,535.559998,0
1967-04-24,537.250000,544.969971,537.250000,544.969971,544.969971,0
1967-05-01,544.650024,548.250000,544.229980,548.250000,548.250000,0
1967-05-08,549.090027,549.090027,542.539978,544.020020,544.020020,0
1967-05-15,539.890015,542.330017,537.460022,537.460022,537.460022,0
1967-05-22,535.669983,535.669983,527.099976,531.330017,531.330017,0
1967-05-29,528.580017,528.580017,519.909973,524.030029,524.030029,0
1967-06-05,515.359985,534.500000,515.359985,534.500000,534.500000,0
1967-06-12,537.669983,540.950012,537.669983,540.950012,540.950012,0
1967-06-19,541.059998,541.059998,538.409973,538.630005,538.630005,0
1967-06-26,536.510010,536.510010,531.539978,531.539978,531.539978,0
1967-07-03,533.229980,538.309998,533.229980,538.309998,538.309998,0
1967-07-10,540.950012,545.599976,540.950012,545.599976,545.599976,0
1967-07-17,545.919983,551.739990,545.919983,551.739990,551.739990,0
1967-07-24,549.830017,555.119995,549.830017,555.119995,555.119995,0
1967-07-31,556.710022,562.729980,556.710022,562.729980,562.729980,0
1967-08-07,561.250000,562.419983,558.400024,558.400024,558.400024,0
1967-08-14,555.119995,556.070007,554.489990,556.070007,556.070007,0
1967-08-21,553.219971,553.219971,544.440002,544.440002,544.440002,0
1967-08-28,544.119995,551.419983,544.119995,551.419983,551.419983,0
1967-09-04,554.270020,555.229980,554.270020,555.020020,555.020020,0
1967-09-11,555.969971,565.479980,555.969971,565.479980,565.479980,0
1967-09-18,566.859985,569.400024,564.320007,569.400024,569.400024,0
1967-09-25,572.460022,572.460022,567.390015,567.919983,567.919983,0
1967-10-02,565.799988,571.510010,565.799988,571.510010,571.510010,0
1967-10-09,572.669983,572.669983,562.520020,563.789978,563.789978,0
1967-10-16,559.349976,560.299988,558.289978,559.669983,559.669983,0
1967-10-23,557.239990,557.450012,554.169983,557.450012,557.450012,0
1967-10-30,556.500000,556.500000,538.840027,538.840027,538.840027,0
1967-11-06,536.929993,540.530029,535.030029,540.530029,540.530029,0
1967-11-13,538.940002,544.229980,535.030029,544.229980,544.229980,0
1967-11-20,536.929993,550.890015,536.929993,550.890015,550.890015,0
1967-11-27,552.580017,555.330017,552.580017,555.330017,555.330017,0
1967-12-04,558.929993,561.570007,558.929993,560.619995,560.619995,0
1967-12-11,559.559998,562.309998,559.239990,559.239990,559.239990,0
1967-12-18,557.760010,561.890015,557.340027,561.039978,561.039978,0
1967-12-25,561.890015,569.179993,561.890015,569.179993,569.179993,0
1968-01-01,567.599976,567.599976,563.049988,566.429993,566.429993,0
1968-01-08,570.559998,572.780029,569.919983,572.780029,572.780029,0
1968-01-15,571.719971,571.719971,565.690002,565.690002,565.690002,0
